timestamp,x,y,cs_x,cs_y
1762729781.675244,0.342704,1.146689,0.101130,3.256075
1762729781.727205,0.342704,1.146689,0.101040,3.255222
1762729781.774608,0.342704,1.146689,0.098777,3.253678
1762729781.826174,0.342704,1.146689,0.099331,3.257559
1762729781.874640,0.342704,1.146689,0.099540,3.260504
1762729781.924053,0.342704,1.146689,0.097267,3.266460
1762729781.975211,0.342704,1.146689,0.097826,3.252172
1762729782.026174,0.342704,1.146689,0.096789,3.275580
1762729782.074817,0.342704,1.146689,0.098148,3.251943
1762729782.126392,0.342704,1.146689,0.100853,3.259276
1762729782.175428,0.342704,1.146689,0.100605,3.258106
1762729782.225201,0.342704,1.146689,0.094713,3.266052
1762729782.274027,0.342704,1.146689,0.095186,3.259666
1762729782.324415,0.342704,1.146689,0.095064,3.268898
1762729782.374330,0.342704,1.146689,0.097875,3.258323
1762729782.424184,0.342704,1.146689,0.097891,3.259148
1762729782.474883,0.342704,1.146689,0.097329,3.261473
1762729782.524208,0.342704,1.146689,0.100840,3.267256
1762729782.574144,0.342704,1.146689,0.100499,3.253908
1762729782.624905,0.342704,1.146689,0.101237,3.251699
1762729782.674866,0.342704,1.146689,0.098751,3.260196
1762729782.726395,0.342704,1.146689,0.099532,3.266968
1762729782.775124,0.342704,1.146689,0.098130,3.259936
1762729782.825813,0.342704,1.146689,0.100753,3.256255
1762729782.874485,0.342704,1.146689,0.097376,3.253672
1762729782.925189,0.342704,1.146689,0.099202,3.267019
1762729782.974041,0.342704,1.146689,0.097868,3.266148
1762729783.024135,0.527222,1.552706,0.099659,3.261920
1762729783.076913,0.527222,1.552706,0.097487,3.255287
1762729783.125543,0.480588,1.487086,0.100830,3.262227
1762729783.174038,0.472015,1.517325,0.098504,3.274975
1762729783.225106,0.453942,1.528609,0.098275,3.262841
1762729783.274098,0.443234,1.561829,0.095798,3.262822
1762729783.324110,0.440838,1.583028,0.098896,3.258618
1762729783.374064,0.435423,1.598486,0.098780,3.259453
1762729783.426519,0.433644,1.609688,0.096573,3.259847
1762729783.474904,0.438036,1.627905,0.100517,3.260593
1762729783.524895,0.439206,1.628017,0.097399,3.260410
1762729783.574832,0.439206,1.628017,0.098401,3.265548
1762729783.624944,0.439206,1.628017,0.099454,3.262704
1762729783.674278,0.439206,1.628017,0.102271,3.263560
1762729783.725914,0.439206,1.628017,0.101852,3.266699
1762729783.774036,0.455922,1.647030,0.097765,3.262223
1762729783.825324,0.459872,1.673215,0.097815,3.256516
1762729783.874860,0.461885,1.664114,0.098893,3.256712
1762729783.925384,0.465601,1.673713,0.097013,3.266878
1762729783.975429,0.470745,1.676782,0.098299,3.263703
1762729784.025403,0.472479,1.666375,0.095633,3.262688
1762729784.074758,0.478142,1.657118,0.101889,3.258739
1762729784.124999,0.479181,1.677566,0.098269,3.273053
1762729784.175385,0.480606,1.673814,0.098200,3.271368
1762729784.224365,0.483768,1.646803,0.100373,3.267989
1762729784.276806,0.483079,1.659153,0.096776,3.259114
1762729784.324897,0.485270,1.657657,0.100628,3.264665
1762729784.377903,0.482478,1.645744,0.098865,3.262596
1762729784.424211,0.481305,1.648389,0.098358,3.264399
1762729784.474883,0.481131,1.654908,0.098998,3.257754
1762729784.526527,0.479652,1.657441,0.097371,3.261568
1762729784.574900,0.481523,1.663905,0.100023,3.260847
1762729784.624504,0.480525,1.678255,0.099223,3.269425
1762729784.674418,0.479694,1.677234,0.099221,3.267158
1762729784.728254,0.475936,1.660131,0.097404,3.257654
1762729784.775575,0.473362,1.677533,0.098016,3.257701
1762729784.827892,0.473279,1.676209,0.100047,3.257529
1762729784.874236,0.467785,1.670476,0.099330,3.260740
1762729784.924794,0.460734,1.654731,0.097624,3.265064
1762729784.974308,0.458783,1.675611,0.097448,3.266442
1762729785.030588,0.454973,1.642409,0.100328,3.252208
1762729785.074013,0.445816,1.662346,0.098006,3.266948
1762729785.125038,0.440338,1.651471,0.098086,3.267888
1762729785.174211,0.436977,1.655526,0.100544,3.259585
1762729785.227365,0.431067,1.644027,0.100580,3.260600
1762729785.276805,0.426569,1.654860,0.100063,3.264138
1762729785.327753,0.415098,1.651848,0.099014,3.260638
1762729785.375906,0.407779,1.653798,0.099635,3.257597
1762729785.424930,0.384140,1.652867,0.098848,3.260181
1762729785.476342,0.384140,1.652867,0.098541,3.266128
1762729785.527736,0.384140,1.652867,0.098016,3.259948
1762729785.574883,0.336671,1.679693,0.095824,3.259902
1762729785.624416,0.330304,1.708513,0.101579,3.262766
1762729785.674498,0.330304,1.708513,0.096737,3.255170
1762729785.724799,0.294422,1.766345,0.098040,3.264644
1762729785.775238,0.294422,1.766345,0.097397,3.257793
1762729785.824208,0.265680,1.770693,0.098662,3.258043
1762729785.874845,0.265680,1.770693,0.098650,3.257922
1762729785.925243,0.242574,1.766204,0.100878,3.261231
1762729785.974299,0.242574,1.766204,0.098580,3.266438
1762729786.024425,0.242574,1.766204,0.097403,3.256700
1762729786.075119,0.223428,1.778062,0.098940,3.262900
1762729786.124426,0.223428,1.778062,0.098940,3.262900
1762729786.175094,0.223428,1.778062,0.098940,3.262900
1762729786.224575,0.204864,1.776505,0.098940,3.262900
1762729786.274950,0.204864,1.776505,0.098940,3.262900
1762729786.325065,0.204864,1.776505,0.098940,3.262900
1762729786.374837,0.204864,1.776505,0.098940,3.262900
1762729786.426087,0.184096,1.793679,0.100654,3.254927
1762729786.479244,0.184096,1.793679,0.100654,3.254927
1762729786.527343,0.184096,1.793679,0.100654,3.254927
1762729786.574183,0.184096,1.793679,0.100654,3.254927
1762729786.625839,0.184096,1.793679,0.100654,3.254927
1762729786.675167,0.184096,1.793679,0.100654,3.254927
1762729786.724569,0.144804,1.796718,0.100654,3.254927
1762729786.779117,0.136863,1.806462,0.100654,3.254927
1762729786.824403,0.126457,1.802837,0.100654,3.254927
1762729786.874215,0.126457,1.802837,0.100654,3.254927
1762729786.926076,0.112375,1.798402,0.100654,3.254927
1762729786.975145,0.098626,1.797480,0.100654,3.254927
1762729787.026617,0.094096,1.803434,0.100654,3.254927
1762729787.075379,0.077141,1.795359,0.100654,3.254927
1762729787.127972,0.073891,1.793044,0.100654,3.254927
1762729787.175330,0.067278,1.782557,0.099504,3.190649
1762729787.226169,-0.010713,2.760540,0.099504,3.190649
1762729787.275008,0.042289,1.801776,0.096491,3.260770
1762729787.325055,0.021720,1.797470,0.097156,3.270417
1762729787.376273,0.015725,1.794503,0.100335,3.260394
1762729787.424090,0.015725,1.794503,0.097716,3.258891
1762729787.477751,0.015725,1.794503,0.095308,3.258792
1762729787.525645,0.015725,1.794503,0.095272,3.260460
1762729787.576880,0.015725,1.794503,0.097913,3.259462
1762729787.624063,0.015725,1.794503,0.096627,3.255078
1762729787.677043,0.015725,1.794503,0.098718,3.267196
1762729787.724388,-0.079358,1.761074,0.098665,3.261151
1762729787.776094,-0.087177,1.758468,0.096980,3.255189
1762729787.825277,-0.100005,1.741186,0.100203,3.267190
1762729787.876490,-0.109244,1.740122,0.097874,3.267358
1762729787.924002,-0.124980,1.738190,0.098608,3.259944
1762729787.977204,-0.124980,1.738190,0.099188,3.265853
1762729788.024063,-0.124980,1.738190,0.099908,3.261874
1762729788.074894,-0.161469,1.738659,0.099436,3.245631
1762729788.124903,-0.169859,1.688541,0.099696,3.265419
1762729788.175099,-0.169859,1.688541,0.099468,3.256885
1762729788.225061,-0.187526,1.671587,0.098466,3.260369
